id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
28548,1.280300021749735,Accessories,HDE Classic Bow Tie,HDE,2.950000047683716,Men,D1D6E4E428DA3798F5D662CB3C8CD74F,1
5357,15.4504798515518,Pants & Capris,(1272) Ladies Wide Leg Smart City Trousers Light Brown,Ice,27.989999771118164,Women,82DEBD8A12B498E765A11A8E51159440,1
8158,15.12617992565751,Suits,ICE (2347) pencil skirt stretch sateen + FREE belt red size 6-16,Ice,25.989999771118164,Women,7AE26CBE9586DEA7D1F0FA372AA86811,1
5602,15.783650381205044,Pants & Capris,Womens Tuxedo Trouser - Polyester Double Pleated Straight Waist,Mina,29.950000762939453,Women,1A3650AEDFDD3A21444047ED2D89458F,1
2986,11.250000027939675,Active,ASICS Women's Ready Set Short Sleeve Top,ASICS,25.0,Women,769675D7C11F336AE6573E7E533570EC,1
18290,16.435890776850883,Active,ASICS Men's Running Compression Long Sleeve,ASICS,39.9900016784668,Men,06992F330E7E9270E0745934C304D173,1
25909,11.11200001090765,Underwear,C-IN2 Men's Pop Color Square Neck Tank Top,C-IN2,24.0,Men,0918A5471AB85853EE1EE7A106A53E43,1
26115,8.303999990224838,Underwear,C-IN2 Men's Core Basic Profile Brief,C-IN2,16.0,Men,ADA2552DA65206D7F880EF928A65753E,1
12695,21.64747923306048,Intimates,Nubra Seamless Super Light Adhesive Bra C Cup Black,NuBra,39.93999862670898,Women,D869C99656EC60FC9DE27338A87B2506,1
211,17.26919972421527,Tops & Tees,Patty Women Sexy V Neck Ruched Bust Long Sleeve Blouse Top,Patty,31.979999542236328,Women,EB163727917CBBA1EEA208541A643E74,1
26364,29.928000044077635,Underwear,Spanx for Men Cotton Control Deep V-Neck Medium Compression 629,Spanx,58.0,Men,E8A6F9224CC383BA6023C1A20C3FA846,1
7171,8.575709855341316,Skirts,Alki'i Mid length salsa evening party skirt with ruffles 18 different styles,Alki'i,19.989999771118164,Women,A35F4223BB8F6C8638DC91D94E9B16F5,1
12748,11.173859952097162,Swim,Copacabana Long Sleeve Embroidered Beach Tunic/Cover Up,Alki'i,26.989999771118164,Women,B0663536001E0B4F1C17B7B296F07CDB,1
26109,11.324999993667006,Underwear,baskit Men's Action Cool Boxer Brief,Baskit,25.0,Men,0D57B29242747D9E02CFCEAB91989FA3,1
16483,7.314350080223381,Tops & Tees,Gildan Mens's Dryblend Jersey Polo Shirt. G8800,Gildan,12.050000190734863,Men,57667A6E4E411D6AF13DA9B91B4A0D17,1
15990,18.52799993753433,Tops & Tees,Hurley Men's One and Only Premium Raglan Long Sleeve,Hurley,32.0,Men,0852B1445F41F52E5B500896B0A1F570,1
16469,11.939999982714651,Tops & Tees,Hurley Men's Brand Front Backer Tee,Hurley,20.0,Men,4009FB33C2755760CAE230DE1C769246,1
22787,22.590000004274767,Shorts,Hurley Men's Commander Cargo Walk Short,Hurley,45.0,Men,860E6390DB45D650DEF1B4FA0C7DD667,1
22849,23.95799996238201,Shorts,Hurley Men's Barney 2.0 Trouser Walkshort,Hurley,49.5,Men,B1CC074DA618AC7D0807BF126726FDA3,1
23225,34.4499999564141,Shorts,Hurley Phantom 60 Walker Boardwalk Short - Men's,Hurley,65.0,Men,DAF719B7EE191A3D78BD90603C7A1860,1
8037,25.53845100062638,Clothing Sets,Jostar Short Sleeve Solid Stretchy Capri Pants Set,Jostar,38.9900016784668,Women,3A9DE64A6C62C8CD6FF8320BAFB8452F,1
14594,11.899999994784594,Maternity,Lamaze Floral Jaquard Nursing Bra with Wide Comfort Straps,Lamaze,25.0,Women,F775EC264C01ADF8189DA19EC86676FE,1
8066,55.31712133086205,Suits,TAHARI Arthur S Levine Textured White Beads Deco Skirt Suit,Tahari,98.08000183105467,Women,8B519F198DD26772E3E82874826B04AA,1
28531,39.37499980442226,Accessories,Tilley Tilley Winter Hat,Tilley,105.0,Men,34E127B2ACF56A344457E1537DCE906D,1
7162,11.249999981373549,Skirts,A. Byer Juniors Pegged Skirt With Button Yoke,A. Byer,25.0,Women,7DD3ED2E12D7967B656D156D50308263,1
2487,10.482319790952204,Active,Capezio Women's Princess Tank Leotard,Capezio,22.63999938964844,Women,6A4CBDAEDCBDA0FA8DDC7EA32073C475,1
9208,28.271999821066856,Socks & Hosiery,Capezio Women's Professional Mesh Transition Tight,Capezio,76.0,Women,FC3DEE15D074D783730C00430D839765,1
